pdb_id,pH,temp
1CY5,8.0,290.0
1CY6,5.0,287.0
1CY7,5.0,277.0
1CY8,5.0,287.0
1CY9,6.0,277.0
1CYQ,5.6,277.0
1CYY,7.5,296.0
1CZ0,5.6,277.0
1CZ1,7.3,292.0
1CZ3,7.0,291.0
1CZ7,6.2,292.0
1CZ8,6.0,293.0
1CZ9,6.2,277.0
1CZA,6.5,298.0
1CZB,7.5,277.0
1CZC,7.5,293.0
1CZD,6.6,277.0
1CZE,7.5,293.0
1CZF,6.0,293.0
1CZG,7.5,298.0
1CZH,6.8,277.0
1CZK,6.8,277.0
1CZL,6.8,277.0
1CZN,6.8,277.0
1CZO,6.8,277.0
1CZP,5.5,277.0
1CZQ,5.6,293.0
1CZR,6.8,277.0
1CZU,6.8,277.0
1CZW,8.0,298.0
1CZY,6.0,293.0
1CZZ,5.6,293.0
1D00,6.0,293.0
1D01,6.0,293.0
1D02,6.0,293.0
1D03,6.8,277.0
1D04,6.8,277.0
1D0A,6.0,293.0
1D0B,6.5,298.0
1D0C,6.5,280.0
1D0D,6.5,298.0
1D0E,7.5,293.0
1D0G,7.5,292.0
1D0J,6.0,293.0
1D0K,7.8,295.0
1D0L,7.8,295.0
1D0M,7.8,295.0
1D0N,8.0,291.0
1D0O,6.5,280.0
1D0Q,6.1,298.0
1D0S,6.0,277.0
1D0V,6.0,277.0
1D0X,7.0,277.0
1D0Y,7.0,277.0
1D0Z,7.0,277.0
1D1A,7.0,277.0
1D1B,7.0,277.0
1D1C,7.0,277.0
1D1I,7.0,298.0
1D1J,7.3,277.0
1D1K,7.5,298.0
1D1L,7.0,298.0
1D1M,7.0,298.0
1D1P,7.0,298.0
1D1Q,7.0,293.0
1D1S,6.5,277.0
1D1T,6.5,277.0
1D1V,6.5,280.0
1D1W,6.5,280.0
1D1X,6.5,280.0
1D1Y,6.5,280.0
1D1Z,5.6,295.0
1D2A,7.0,293.0
1D2C,5.6,277.0
1D2E,7.2,277.0
1D2G,5.6,277.0
1D2H,5.6,277.0
1D2I,5.2,293.0
1D2M,6.1,293.0
1D2N,8.0,293.0
1D2P,7.5,298.0
1D2S,7.5,293.0
1D2T,8.0,293.0
1D2U,7.5,298.0
1D2V,5.5,289.0
1D2W,6.9,277.0
1D2Y,6.9,277.0
1D3A,7.6,298.0
1D3D,5.6,277.0
1D3F,6.9,277.0
1D3J,6.9,277.0
1D3K,5.75,277.0
1D3M,6.9,277.0
1D3N,7.0,277.0
1D3P,5.6,277.0
1D3Q,5.6,277.0
1D3S,5.6,298.0
1D3T,5.6,277.0
1D3W,7.8,277.0
1D3Y,6.1,293.0
1D4C,6.5,294.0
1D4F,7.2,295.0
1D4H,5.5,277.0
1D4I,5.5,277.0
1D4J,5.5,277.0
1D4K,5.5,293.0
1D4L,5.5,293.0
1D4N,5.75,277.0
1D4O,7.4,277.0
1D4P,5.6,277.0
1D4T,8.0,295.0
1D4V,8.0,293.0
1D4W,5.6,295.0
1D4X,8.0,293.0
1D5C,6.5,295.0
1D5D,5.75,293.0
1D5E,5.75,293.0
1D5F,7.5,277.0
1D5H,5.75,293.0
1D5I,7.0,298.0
1D5L,5.5,289.0
1D5R,8.0,293.0
1D5S,5.5,295.0
1D5T,5.5,295.5
1D5W,7.5,277.0
1D5Y,6.5,295.0
1D6A,8.0,298.0
1D6F,6.5,277.0
1D6H,6.5,277.0
1D6I,6.5,277.0
1D6J,6.0,298.0
1D6M,6.3,287.0
1D6O,8.0,297.0
1D6R,8.0,291.0
1D6S,7.0,297.0
1D6U,7.2,291.0
1D6V,7.0,292.0
1D6W,7.3,298.0
1D6Y,7.2,291.0
1D6Z,7.2,291.0
1D7A,8.0,281.0
1D7B,7.5,298.0
1D7D,7.5,298.0
1D7E,6.5,290.0
1D7F,5.6,298.0
1D7H,8.0,297.0
1D7I,8.0,297.0
1D7J,8.0,297.0
1D7K,7.5,289.0
1D7M,6.5,297.0
1D7P,6.5,298.0
1D7R,7.5,298.0
1D7S,7.5,298.0
1D7U,7.5,297.0
1D7V,7.5,293.0
1D8A,7.5,290.0
1D8C,8.0,298.0
1D8D,5.7,290.0
1D8E,5.7,290.0
1D8H,6.34,295.0
1D8I,6.34,295.0
1D8S,7.2,298.0
1D8U,7.8,295.0
1D8W,6.4,295.0
1D8Y,6.4,295.0
1D9C,6.0,293.0
1D9D,6.4,295.0
1D9E,7.5,298.0
1D9F,6.4,295.0
1D9G,6.0,293.0
1D9I,7.3,298.0
1D9Q,5.0,290.0
1D9V,6.5,290.0
1D9W,6.5,298.0
1DAW,8.0,298.0
1DAY,8.0,298.0
1DAZ,5.6,297.0
1DB1,6.0,298.0
1DB2,6.6,277.0
1DB3,7.5,298.0
1DB4,7.0,297.0
1DB5,7.0,297.0
1DBT,7.1,295.0
1DBW,7.0,277.0
1DBZ,5.0,291.0
1DC1,7.6,293.0
1DCF,7.4,277.0
1DCK,7.0,277.0
1DCM,7.8,277.0
1DCT,6.5,277.0
1DCU,5.0,298.0
1DCY,7.0,297.0
1DD5,5.5,298.0
1DD6,6.5,293.0
1DD8,7.4,293.0
1DD9,5.0,293.0
1DDE,5.0,293.0
1DDG,7.5,277.0
1DDI,7.5,277.0
1DDJ,6.5,293.0
1DDK,6.5,293.0
1DDV,8.0,293.0
1DDW,7.4,293.0
1DDX,8.0,288.0
1DDZ,6.75,293.0
1DE4,8.0,298.0
1DE5,6.4,295.0
1DE8,6.5,298.0
1DE9,7.0,298.0
1DED,5.6,298.0
1DEE,6.5,293.0
1DEJ,6.0,293.0
1DEO,5.0,298.0
1DEQ,6.2,277.0
1DEV,8.0,277.0
